Response	Gene ENSEMBL ID
LBW242	ENSG00000169231
LBW242	ENSG00000182132
LBW242	ENSG00000138175
LBW242	ENSG00000138182
LBW242	ENSG00000130255
LBW242	ENSG00000178252
LBW242	ENSG00000166394
LBW242	ENSG00000090554
LBW242	ENSG00000185736
LBW242	ENSG00000083812
LBW242	ENSG00000151948
LBW242	ENSG00000163751
LBW242	ENSG00000213614
LBW242	ENSG00000196352
LBW242	ENSG00000180098
LBW242	ENSG00000105058
LBW242	ENSG00000169436
LBW242	ENSG00000162763
LBW242	ENSG00000154473
LBW242	LOC401320
LBW242	ENSG00000174744
LBW242	ENSG00000139218
LBW242	ENSG00000091010
LBW242	ENSG00000136715
LBW242	ENSG00000164938
LBW242	ENSG00000156110
LBW242	ENSG00000253368
LBW242	ENSG00000109927
LBW242	ENSG00000100731
LBW242	ENSG00000185842
LBW242	ENSG00000112782
LBW242	LOC100505985
LBW242	ENSG00000120029
LBW242	ENSG00000110925
LBW242	C16orf3
LBW242	ENSG00000171425
LBW242	LOC100507364
LBW242	ENSG00000204403
LBW242	ENSG00000159516
LBW242	ENSG00000197083
LBW242	ENSG00000274829
LBW242	ENSG00000172137
LBW242	ENSG00000178904
LBW242	ENSG00000133943
LBW242	ENSG00000198858
LBW242	LRG_362
LBW242	C20orf26
LBW242	ENSG00000166930
LBW242	ENSG00000132275
LBW242	ENSG00000143105
LBW242	ENSG00000198408
LBW242	C14orf118
LBW242	ENSG00000248593
LBW242	ENSG00000023516
LBW242	ENSG00000059145
LBW242	ENSG00000165655
LBW242	LOC100128252
LBW242	ENSG00000143353
LBW242	ENSG00000159708
LBW242	ENSG00000112183
LBW242	ENSG00000182255
LBW242	ENSG00000106689
LBW242	ENSG00000111181
LBW242	ENSG00000144712
LBW242	ENSG00000127249
LBW242	ENSG00000164266
LBW242	ENSG00000112655
LBW242	ENSG00000114374
LBW242	ENSG00000197362
LBW242	ENSG00000116741
LBW242	ENSG00000137834
LBW242	C16orf88
LBW242	ENSG00000163214
LBW242	ENSG00000229769
LBW242	ENSG00000146859
LBW242	ENSG00000160710
LBW242	LOC100506874
LBW242	ENSG00000106266
LBW242	ENSG00000149357
LBW242	ENSG00000036473
LBW242	ENSG00000132740
LBW242	ENSG00000227345
LBW242	ENSG00000173581
LBW242	ENSG00000065600
LBW242	ENSG00000094880
LBW242	ENSG00000138286
LBW242	LOC100506972
LBW242	ENSG00000123268
LBW242	ENSG00000189292
LBW242	ENSG00000176108
LBW242	ENSG00000072401
LBW242	ENSG00000176463
LBW242	ENSG00000171202
LBW242	ENSG00000109511
LBW242	ENSG00000111450
LBW242	ENSG00000169297
LBW242	ENSG00000162999
LBW242	ENSG00000124019
LBW242	ENSG00000138138
LBW242	ENSG00000095981
LBW242	ENSG00000074319
LBW242	ENSG00000160218
LBW242	ENSG00000167261
LBW242	LOC100507015
LBW242	ENSG00000167333
LBW242	ENSG00000164265
LBW242	ENSG00000188107
LBW242	ENSG00000119711
LBW242	ENSG00000148719
LBW242	ENSG00000106460
LBW242	ENSG00000168813
LBW242	ENSG00000032219
LBW242	ENSG00000169933
LBW242	ENSG00000128298
LBW242	ENSG00000271361
LBW242	ENSG00000244968
LBW242	ENSG00000148842
LBW242	ENSG00000172809
LBW242	ENSG00000116213
LBW242	ENSG00000114646
LBW242	CCDC56
LBW242	MST1P9
LBW242	ENSG00000108582
LBW242	ENSG00000155858
LBW242	ENSG00000205155
LBW242	ENSG00000108001
LBW242	ENSG00000092108
LBW242	ENSG00000167874
LBW242	LOC100132987
LBW242	ENSG00000249961
LBW242	ENSG00000162576
LBW242	ENSG00000163374
LBW242	ENSG00000153071
LBW242	ENSG00000213337
LBW242	ENSG00000103152
LBW242	LRG_348
LBW242	ENSG00000165131
LBW242	ENSG00000167535
LBW242	ENSG00000225745
LBW242	ENSG00000131778
LBW242	LOC100505912
LBW242	ENSG00000120727
LBW242	ENSG00000281626
LBW242	ENSG00000106263
LBW242	ENSG00000160505
LBW242	ENSG00000129226
LBW242	ENSG00000159228
LBW242	ENSG00000213316
LBW242	ENSG00000109118
LBW242	ENSG00000163975
LBW242	ENSG00000082996
LBW242	ENSG00000012174
LBW242	ENSG00000255346
LBW242	ENSG00000119906
LBW242	LOC730091
LBW242	ENSG00000198889
LBW242	ENSG00000124003
LBW242	ENSG00000175198
LBW242	LOC440131
LBW242	ENSG00000112697
LBW242	ENSG00000255112
LBW242	ENSG00000136463
LBW242	ENSG00000084444
LBW242	ENSG00000197977
LBW242	ENSG00000066468
LBW242	ENSG00000196724
LBW242	ENSG00000189134
LBW242	ENSG00000180817
LBW242	ENSG00000249471
LBW242	ENSG00000114656
LBW242	ENSG00000121988
LBW242	ENSG00000125531
LBW242	ENSG00000113205
LBW242	LOC100506122
LBW242	ENSG00000203730
LBW242	ENSG00000104290
LBW242	ENSG00000273884
LBW242	ENSG00000119953
LBW242	ENSG00000165669
LBW242	ENSG00000255198
LBW242	ENSG00000100399
LBW242	ENSG00000273622
LBW242	ENSG00000100811
LBW242	ENSG00000239697
LBW242	ENSG00000075413
LBW242	ENSG00000177733
LBW242	ENSG00000152207
LBW242	ENSG00000138190
LBW242	ENSG00000154258
LBW242	ENSG00000169860
LBW242	ENSG00000181444
LBW242	ENSG00000109061
LBW242	DKFZp686O1327
LBW242	ENSG00000173253
LBW242	ENSG00000116954
LBW242	ENSG00000204148
LBW242	ENSG00000167011
LBW242	KIAA0317
LBW242	ENSG00000107372
LBW242	ENSG00000154262
LBW242	ENSG00000134780
LBW242	FONG
LBW242	LOC100505574
LBW242	ENSG00000135040
LBW242	ENSG00000204293
LBW242	ENSG00000128262
LBW242	ENSG00000111783
LBW242	ENSG00000133134
LBW242	ENSG00000178732
LBW242	ENSG00000151835
LBW242	ENSG00000124827
LBW242	ENSG00000149016
LBW242	ENSG00000187257
LBW242	ENSG00000111321
LBW242	ENSG00000115307
LBW242	ENSG00000140564
LBW242	ENSG00000124772
LBW242	ENSG00000266265
LBW242	ENSG00000133961
LBW242	ENSG00000145321
LBW242	ENSG00000155980
LBW242	ENSG00000165643
LBW242	ENSG00000164091
LBW242	ENSG00000147905
LBW242	C12orf12
LBW242	ENSG00000166035
LBW242	ENSG00000055950
LBW242	ENSG00000178573
LBW242	ENSG00000132581
LBW242	ENSG00000167080
LBW242	ENSG00000160111
LBW242	ENSG00000189299
LBW242	ENSG00000062650
LBW242	ENSG00000215012
LBW242	ENSG00000168004
LBW242	ENSG00000138604
LBW242	ENSG00000178175
LBW242	ENSG00000151012
LBW242	ENSG00000099326
LBW242	ENSG00000218416
LBW242	ENSG00000183621
LBW242	ENSG00000137309
LBW242	ENSG00000185742
LBW242	ENSG00000156482
